flow_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,start_time_iso,end_time,end_time_iso,duration_seconds,packet_count,total_bytes,forward_bytes,reverse_bytes,bytes_per_second,packets_per_second,avg_packet_size,fetched_at,tor_confidence,is_suspected_tor,tor_evidence,tor_port_match,tor_size_match,tor_timing_match
cd3e33c7709c,127.0.0.1,127.0.0.1,9150,49824,TCP,1543576897.153635,2018-11-30T16:51:37.153635,1543576932.448024,2018-11-30T16:52:12.448024,35.29438900947571,43,6794,4231,2563,192.49518664782585,1.21832396612548,158.0,2025-12-15T20:46:50.049057,0.3,0,Stable timing,0,0,1
a501dda04a05,127.0.0.1,127.0.0.1,9150,49825,TCP,1543576897.153635,2018-11-30T16:51:37.153635,1543576933.186792,2018-11-30T16:52:13.186792,36.033156871795654,57,19005,16333,2672,527.4308900443814,1.5818763868734407,333.42105263157896,2025-12-15T20:46:50.049075,0.3,0,Stable timing,0,0,1
09b922b2c1f7,127.0.0.1,127.0.0.1,9150,49826,TCP,1543576897.153635,2018-11-30T16:51:37.153635,1543576933.186792,2018-11-30T16:52:13.186792,36.033156871795654,58,20076,17362,2714,557.1535147872139,1.6096286041870098,346.13793103448273,2025-12-15T20:46:50.049092,0.3,0,Stable timing,0,0,1
53655f02deaf,127.0.0.1,127.0.0.1,9150,49827,TCP,1543576897.168171,2018-11-30T16:51:37.168171,1543576932.584768,2018-11-30T16:52:12.584768,35.41659712791443,40,7324,5166,2158,206.79570015006937,1.1294139822505154,183.1,2025-12-15T20:46:50.049109,0.3,0,Stable timing,0,0,1
02b7eb9a2127,127.0.0.1,127.0.0.1,9150,49828,TCP,1543576897.168171,2018-11-30T16:51:37.168171,1543576970.972987,2018-11-30T16:52:50.972987,73.80481600761414,176,95291,87638,7653,1291.121706612875,2.3846682306184843,541.4261363636364,2025-12-15T20:46:50.049126,0.3,0,Stable timing,0,0,1
b317b1b99d76,127.0.0.1,127.0.0.1,9150,49829,TCP,1543576897.246901,2018-11-30T16:51:37.246901,1543577062.548976,2018-11-30T16:54:22.548976,165.3020749092102,91,42099,39281,2818,254.67919881297482,0.5505073063963682,462.6263736263736,2025-12-15T20:46:50.049145,0.3,0,Stable timing,0,0,1
ca5fb43169b8,127.0.0.1,127.0.0.1,9150,49830,TCP,1543576897.656806,2018-11-30T16:51:37.656806,1543577012.225173,2018-11-30T16:53:32.225173,114.56836700439453,45,3190,1743,1447,27.843636803146897,0.3927785755929813,70.88888888888889,2025-12-15T20:46:50.049163,0.0,0,No strong evidence,0,0,0
8bec871eae84,127.0.0.1,127.0.0.1,9150,49831,TCP,1543576898.701201,2018-11-30T16:51:38.701201,1543577140.253325,2018-11-30T16:55:40.253325,241.5521240234375,102,31054,25148,5906,128.5602439868708,0.4222691082199015,304.45098039215685,2025-12-15T20:46:50.049180,0.0,0,No strong evidence,0,0,0
c769e17d5544,127.0.0.1,127.0.0.1,9150,49832,TCP,1543576933.484219,2018-11-30T16:52:13.484219,1543577013.127456,2018-11-30T16:53:33.127456,79.64323687553406,377,277974,269573,8401,3490.239860974209,4.733609717409818,737.3315649867374,2025-12-15T20:46:50.049198,0.3,0,Stable timing,0,0,1
24e051ec589e,127.0.0.1,127.0.0.1,9150,49833,TCP,1543576933.498302,2018-11-30T16:52:13.498302,1543577012.788368,2018-11-30T16:53:32.788368,79.29006600379944,165,99007,93090,5917,1248.668401855735,2.0809668640216983,600.0424242424242,2025-12-15T20:46:50.049216,0.3,0,Stable timing,0,0,1
